#MET,Acc(HI),Acc/Baro(LO),Baro(HI),State
0.000,512,0,772,64
0.020,513,64,772,0
0.040,513,64,772,0
0.060,512,0,772,0
0.080,518,128,772,0
0.100,499,196,773,0
0.120,531,192,772,0
0.140,519,196,773,0
0.160,549,64,772,0
0.180,549,64,772,0
0.200,546,128,772,0
0.220,544,0,772,0
0.240,555,192,772,0
0.260,554,128,772,0
0.280,557,64,772,0
0.300,560,0,772,0
0.320,577,68,773,1
0.340,580,0,772,1
0.360,591,196,773,1
0.380,593,68,773,1
0.400,596,0,772,1
0.420,604,0,772,1
0.440,611,192,772,1
0.460,611,196,773,1
0.480,610,128,772,1
0.500,607,192,772,1
0.520,609,68,773,1
0.540,603,192,772,1
0.560,608,0,772,2
0.580,604,0,772,2
0.600,604,0,772,2
0.620,603,204,771,2
0.640,603,204,771,2
0.660,602,140,771,2
0.680,601,76,771,2
0.700,599,192,772,2
0.720,600,12,771,2
0.740,599,204,771,2
0.760,598,140,771,2
0.780,598,140,771,2
0.800,597,76,771,2
0.820,595,204,771,2
0.840,596,12,771,2
0.860,596,8,770,2
0.880,596,8,770,2
0.900,597,72,770,2
0.920,598,136,770,2
0.940,598,132,769,2
0.960,599,196,769,2
0.980,599,196,769,2
1.000,600,4,769,2
1.020,600,0,768,2
1.040,600,0,768,2
1.060,601,64,768,2
1.080,600,0,768,2
1.100,601,64,768,2
1.120,600,0,768,2
1.140,600,0,768,2
1.160,601,76,767,2
1.180,601,76,767,2
1.200,600,8,766,2
1.220,600,8,766,2
1.240,601,72,766,2
1.260,601,72,766,2
1.280,601,68,765,2
1.300,601,68,765,2
1.320,601,68,765,2
1.340,601,64,764,2
1.360,601,64,764,2
1.380,602,128,764,2
1.400,602,140,763,2
1.420,601,76,763,2
1.440,602,140,763,2
1.460,602,140,763,2
1.480,602,136,762,2
1.500,602,136,762,2
1.520,601,68,761,2
1.540,601,68,761,2
1.560,602,128,760,2
1.580,602,128,760,2
1.600,601,64,760,2
1.620,601,76,759,2
1.640,601,76,759,2
1.660,602,140,759,2
1.680,601,72,758,2
1.700,602,136,758,2
1.720,602,136,758,2
1.740,602,128,756,2
1.760,601,64,756,2
1.780,601,64,756,2
1.800,601,64,756,2
1.820,601,76,755,2
1.840,601,76,755,2
1.860,601,72,754,2
1.880,600,8,754,2
1.900,601,68,753,2
1.920,601,64,752,2
1.940,601,64,752,2
1.960,601,64,752,2
1.980,601,76,751,2
2.000,602,140,751,2
2.020,600,8,750,2
2.040,601,72,750,2
2.060,600,8,750,2
2.080,599,196,749,2
2.100,600,4,749,2
2.120,599,196,749,2
2.140,599,192,748,2
2.160,600,0,748,2
2.180,599,204,747,2
2.200,600,8,746,2
2.220,595,196,745,2
2.240,629,68,745,2
2.260,652,200,746,2
2.280,675,192,744,2
2.300,615,204,743,2
2.320,577,68,741,2
2.340,565,64,740,2
2.360,559,192,740,2
2.380,556,12,739,2
2.400,555,200,738,2
2.420,555,196,737,2
2.440,554,132,737,2
2.460,554,128,736,2
2.480,555,192,736,2
2.500,555,204,735,2
2.520,555,200,734,2
2.540,554,136,734,2
2.560,554,136,734,2
2.580,554,128,732,2
2.600,553,64,732,2
2.620,553,76,731,2
2.640,552,12,731,2
2.660,552,4,729,2
2.680,554,136,730,2
2.700,553,64,728,2
2.720,555,192,728,2
2.740,555,204,727,2
2.760,554,136,726,2
2.780,556,8,726,2
2.800,551,196,725,2
2.820,591,196,725,2
2.840,607,140,723,2
2.860,623,200,722,2
2.880,587,12,723,2
2.900,552,4,721,2
2.920,536,12,719,2
2.940,529,76,719,2
2.960,529,72,718,2
2.980,528,8,718,2
3.000,527,196,717,2
3.020,527,192,716,2
3.040,527,192,716,2
3.060,526,128,716,2
3.080,527,204,715,2
3.100,527,204,715,2
3.120,527,200,714,2
3.140,527,196,713,2
3.160,526,132,713,2
3.180,527,192,712,2
3.200,527,204,711,2
3.220,526,140,711,2
3.240,527,200,710,2
3.260,527,200,710,2
3.280,527,200,710,2
3.300,527,192,708,2
